,no,url,title,platform,title_en,score,label
25,25,https://news.detik.com/berita/d-7651302/pkb-nilai-kenaikan-ppn-12-bukan-harga-mati-genjot-apbn-bisa-opsi-lain,PKB Nilai Kenaikan PPN 12% Bukan Harga Mati: Genjot APBN Bisa Opsi Lain,detik.com,PKB Value of 12% VAT Increase Is Not a Fixed Price: Boosting APBN is Another Option,-0.05,0
26,26,https://oto.detik.com/mobil/d-7651280/ppn-mulai-tahun-depan-naik-begini-imbasnya-ke-mobil-bekas,"PPN Mulai Tahun Depan Naik, Begini Imbasnya ke Mobil Bekas",detik.com,"VAT will increase starting next year, here's the impact on used cars",0.0,1
27,27,https://finance.detik.com/berita-ekonomi-bisnis/d-7650064/ketimbang-ppn-naik-jadi-12-lebih-baik-genjot-pajak-orang-kaya,Ketimbang PPN Naik Jadi 12% Lebih Baik Genjot Pajak Orang Kaya,detik.com,"Instead of increasing VAT to 12%, it would be better to increase taxes on the rich",0.4375,1
28,28,https://finance.detik.com/berita-ekonomi-bisnis/d-7649848/ppn-naik-jadi-12-ekonom-indef-sudah-jatuh-tertimpa-tangga,"PPN Naik Jadi 12%, Ekonom INDEF: Sudah Jatuh Tertimpa Tangga",detik.com,"VAT Increases to 12%, INDEF Economist: Has Fallen Down the Ladder",-0.15555555555555556,0
29,29,https://finance.detik.com/berita-ekonomi-bisnis/d-7649842/wacana-tax-amnesty-di-tengah-badai-ppn-12,Wacana Tax Amnesty di Tengah Badai PPN 12%,detik.com,Tax Amnesty Discourse in the Midst of 12% VAT Storm,0.0,1
30,30,https://finance.detik.com/berita-ekonomi-bisnis/d-7649426/ppn-naik-12-airlangga-ungkap-barang-pangan-bisa-dikecualikan,"PPN Naik 12%, Airlangga Ungkap Barang Pangan Bisa Dikecualikan",detik.com,"VAT Increases by 12%, Airlangga Says Food Goods Can Be Excluded",0.0,1
31,31,https://www.detik.com/jogja/bisnis/d-7649297/respons-kemenkeu-soal-viral-tolak-ppn-12-pakai-latar-garuda-biru,Respons Kemenkeu soal Viral Tolak PPN 12% Pakai Latar Garuda Biru,detik.com,Ministry of Finance's response to viral rejection of 12% VAT using blue Garuda background,0.0,1
32,32,https://finance.detik.com/berita-ekonomi-bisnis/d-7649190/ramai-tolak-ppn-jadi-12-pakai-latar-garuda-biru-kemenkeu-buka-suara,"Ramai Tolak PPN Jadi 12% Pakai Latar Garuda Biru, Kemenkeu Buka Suara",detik.com,"Many people reject VAT up to 12% using the blue Garuda background, the Ministry of Finance opens its voice",0.25,1
33,33,https://www.detik.com/bali/bisnis/d-7648622/ppn-naik-jadi-12-di-2025-serikat-pekerja-kampanyekan-belanja-di-warung-kecil,"PPN Naik Jadi 12% di 2025, Serikat Pekerja Kampanyekan Belanja di Warung Kecil",detik.com,"VAT Increases to 12% in 2025, Workers' Union Campaigns for Shopping at Small Stalls",-0.25,0
34,34,https://www.detik.com/properti/berita/d-7648091/kenaikan-ppn-bakal-hantam-industri-properti-pengembang-kerugian-buat-pemerintah,"Kenaikan PPN Bakal Hantam Industri Properti, Pengembang: Kerugian buat Pemerintah",detik.com,"VAT Increase Will Hit Property Industry, Developers: Loss for Government",0.0,1
35,35,https://news.detik.com/berita/d-7647179/waka-komisi-xi-dpr-soal-rencana-ppn-12-opsi-tunda-bisa-dipertimbangkan,Waka Komisi XI DPR soal Rencana PPN 12%: Opsi Tunda Bisa Dipertimbangkan,detik.com,Deputy Head of Commission XI DPR regarding 12% VAT Plan: Delay Option Can Be Considered,0.0,1
36,36,https://news.detik.com/berita/d-7647123/pks-rencana-kenaikan-ppn-12-harus-ditinjau-ulang-atau-dibatalkan,PKS: Rencana Kenaikan PPN 12% Harus Ditinjau Ulang atau Dibatalkan,detik.com,PKS: Planned 12% VAT Increase Must Be Reviewed or Cancelled,0.0,1
37,37,https://news.detik.com/berita/d-7647094/tolak-rencana-ppn-naik-jadi-12-ini-4-tuntutan-kspi,"Tolak Rencana PPN Naik Jadi 12%, Ini 4 Tuntutan KSPI",detik.com,"Reject VAT plans to increase to 12%, these are KSPI's 4 demands",0.0,1
38,38,https://finance.detik.com/berita-ekonomi-bisnis/d-7646574/harga-beras-bisa-terkerek-jika-ppn-naik-jadi-12-ini-penjelasan-bos-bapanas,"Harga Beras Bisa Terkerek Jika PPN Naik Jadi 12%, Ini Penjelasan Bos Bapanas",detik.com,"Rice prices could increase if VAT rises to 12%, this is the explanation from Bapanas Boss",0.0,1
39,39,https://finance.detik.com/berita-ekonomi-bisnis/d-7646409/rakyat-bisa-makin-susah-jika-ppn-naik-jadi-12,Rakyat Bisa Makin Susah Jika PPN Naik Jadi 12%!,detik.com,It could be even more difficult for the people if VAT increases to 12%!,-0.0625,0
40,40,https://finance.detik.com/berita-ekonomi-bisnis/d-7646198/ppn-naik-jadi-12-modal-bisnis-jadi-bengkak,"PPN Naik Jadi 12%, Modal Bisnis Jadi Bengkak",detik.com,"VAT Increases to 12%, Business Capital Becomes Swollen",0.0,1
41,41,https://news.detik.com/berita/d-7646184/waka-dpr-soroti-soal-ppn-jadi-12-masih-wacana-tunggu-presiden-kembali,"Waka DPR Soroti soal PPN Jadi 12%: Masih Wacana, Tunggu Presiden Kembali",detik.com,"Deputy Head of DPR Highlights VAT Issue to 12%: Still in Discussion, Wait for the President to Return",0.0,1
42,42,https://finance.detik.com/berita-ekonomi-bisnis/d-7646093/pengusaha-ungkap-efek-domino-kenaikan-harga-barang-jika-ppn-12,Pengusaha Ungkap Efek Domino Kenaikan Harga Barang Jika PPN 12%,detik.com,Entrepreneur Reveals Domino Effect of Increase in Goods Prices if VAT is 12%,0.0,1
43,43,https://finance.detik.com/berita-ekonomi-bisnis/d-7646041/rakyat-bak-jatuh-tertimpa-tangga-phk-daya-beli-lesu-eh-ppn-naik-jadi-12,"Rakyat Bak Jatuh Tertimpa Tangga! PHK, Daya Beli Lesu, Eh PPN Naik Jadi 12%",detik.com,"People like falling down stairs! Layoffs, Sluggish Purchasing Power, Eh VAT Increases to 12%",-0.19444444444444445,0
44,44,https://finance.detik.com/berita-ekonomi-bisnis/d-7645903/gawat-industri-bisa-makin-terjepit-gara-gara-ppn-naik-jadi-12,Gawat! Industri Bisa Makin Terjepit Gara-gara PPN Naik Jadi 12%,detik.com,Bad! Industry Could Be Even More Squeezed Due to VAT Increase to 12%,-0.1666666666666666,0
45,45,https://finance.detik.com/berita-ekonomi-bisnis/d-7645897/ppn-naik-jadi-12-pengusaha-bisa-babak-belur,"PPN Naik Jadi 12%, Pengusaha Bisa Babak Belur!",detik.com,"VAT Increases to 12%, Entrepreneurs Could Be Battered!",0.0,1
46,46,https://news.detik.com/berita/d-7645686/waka-dpr-minta-kaji-ulang-ppn-jadi-12-harga-naik-masyarakat-makin-berat,"Waka DPR Minta Kaji Ulang PPN Jadi 12%: Harga Naik, Masyarakat Makin Berat",detik.com,"Deputy Head of DPR Asks to Review VAT to 12%: Prices Rise, People Get Harder",-0.1,0
47,47,https://finance.detik.com/foto-bisnis/d-7645137/siap-siap-ppn-naik-12-tahun-depan,Siap-siap! PPN Naik 12% Tahun Depan,detik.com,Get ready! VAT Increases 12% Next Year,0.125,1
48,48,https://finance.detik.com/berita-ekonomi-bisnis/d-7644981/pemerintah-diminta-tahan-diri-naikkan-ppn-jadi-12,Pemerintah Diminta Tahan Diri Naikkan PPN Jadi 12%,detik.com,Government Asked to Resist Raising VAT to 12%,0.0,1
49,49,https://finance.detik.com/berita-ekonomi-bisnis/d-7644976/ppn-naik-jadi-12-tahun-depan-pengusaha-waswas-bisnis-mandek,"PPN Naik Jadi 12% Tahun Depan, Pengusaha Waswas Bisnis Mandek",detik.com,"VAT will increase to 12% next year, entrepreneurs are worried that their business will stagnate",0.0,1
50,50,https://finance.detik.com/berita-ekonomi-bisnis/d-7644909/ppn-naik-jadi-12-mulai-2025-ini-barang-jasa-yang-dibebaskan,"PPN Naik Jadi 12% Mulai 2025, Ini Barang-Jasa yang Dibebaskan",detik.com,"VAT will increase to 12% starting in 2025, these are the goods and services that are exempt",0.0,1
51,51,https://finance.detik.com/berita-ekonomi-bisnis/d-7644769/ppn-naik-jadi-12-tahun-depan-ini-kriteria-barang-yang-kena,"PPN Naik Jadi 12% Tahun Depan, Ini Kriteria Barang yang Kena",detik.com,"VAT will increase to 12% next year, these are the criteria for goods that are affected",0.0,1
52,52,https://finance.detik.com/infrastruktur/d-7644567/ppn-naik-12-tahun-depan-menteri-pu-sebut-bangun-infrastruktur-tambah-mahal,"PPN Naik 12% Tahun Depan, Menteri PU Sebut Bangun Infrastruktur Tambah Mahal",detik.com,"VAT Increases by 12% Next Year, Minister of Public Works Says Building Infrastructure is Increasingly Expensive",-0.16666666666666666,0
53,53,https://finance.detik.com/berita-ekonomi-bisnis/d-7640475/ppn-mau-naik-jadi-12-pengusaha-ingatkan-harga-barang-naik-daya-beli-lesu,"PPN Mau Naik Jadi 12%, Pengusaha Ingatkan Harga Barang Naik-Daya Beli Lesu",detik.com,"VAT Wants to Increase to 12%, Entrepreneurs Warn Goods Prices are Rising - Purchasing Power is Sluggish",0.2,1
54,54,https://finance.detik.com/berita-ekonomi-bisnis/d-7640458/pengusaha-ritel-bakal-surati-sri-mulyani-soal-ppn-naik-jadi-12,Pengusaha Ritel Bakal Surati Sri Mulyani soal PPN Naik Jadi 12%,detik.com,Retail Entrepreneurs Will Write to Sri Mulyani about VAT Increase to 12%,0.0,1
55,55,https://www.detik.com/bali/berita/d-7639183/siap-siap-tarif-ppn-naik-jadi-12-persen-mulai-1-januari-2025,"Siap-siap, Tarif PPN Naik Jadi 12 Persen Mulai 1 Januari 2025",detik.com,"Get ready, the VAT rate will increase to 12 percent starting January 1, 2025",0.1,1
56,56,https://finance.detik.com/berita-ekonomi-bisnis/d-7638609/sri-mulyani-bicara-soal-ppn-12-jadi-berlaku-1-januari,"Sri Mulyani Bicara soal PPN 12%, Jadi Berlaku 1 Januari?",detik.com,"Sri Mulyani talks about 12% VAT, so does it apply on January 1?",0.0,1
57,57,https://finance.detik.com/berita-ekonomi-bisnis/d-7633334/ppn-bakal-naik-jadi-12-bos-garuda-pastikan-harga-tiket-melonjak,"PPN Bakal Naik Jadi 12%, Bos Garuda Pastikan Harga Tiket Melonjak",detik.com,"VAT Will Increase to 12%, Garuda Boss Ensures Ticket Prices Will Increase",0.0,1
58,58,https://finance.detik.com/berita-ekonomi-bisnis/d-7629154/pengumuman-tanggal-jatuh-tempo-bayar-pajak-berubah,Pengumuman! Tanggal Jatuh Tempo Bayar Pajak Berubah,detik.com,Announcement! Tax Payment Due Date Changed,-0.125,0
59,59,https://www.detik.com/properti/kepemilikan-rumah/d-7617387/5-jenis-pajak-yang-harus-dibayar-saat-membeli-dan-menjual-rumah,5 Jenis Pajak yang Harus Dibayar saat Membeli dan Menjual Rumah,detik.com,5 Types of Taxes You Must Pay When Buying and Selling a House,0.0,1
60,60,https://finance.detik.com/berita-ekonomi-bisnis/d-7597315/prabowo-diminta-tunda-rencana-kenaikan-ppn-jadi-12,Prabowo Diminta Tunda Rencana Kenaikan PPN Jadi 12%,detik.com,Prabowo Asked to Postpone Plan to Increase VAT to 12%,0.0,1
61,61,https://www.detik.com/properti/berita/d-7588773/respons-pengembang-soal-rencana-prabowo-hapus-pajak-pembelian-rumah,Respons Pengembang Soal Rencana Prabowo Hapus Pajak Pembelian Rumah,detik.com,Developer's Response to Prabowo's Plan to Eliminate Home Purchase Tax,0.0,1
62,62,https://www.detik.com/properti/berita/d-7582381/tekad-prabowo-bangun-3-juta-rumah-setahun-dan-bebaskan-ppn-bphtb,Tekad Prabowo Bangun 3 Juta Rumah Setahun dan Bebaskan PPN-BPHTB,detik.com,Prabowo's determination to build 3 million houses a year and eliminate VAT-BPHTB,0.0,1
63,63,https://www.detik.com/properti/berita/d-7581852/hashim-ungkap-wacana-prabowo-mau-hapus-ppn-bphtb-pembelian-rumah,Hashim Ungkap Wacana Prabowo Mau Hapus PPN-BPHTB Pembelian Rumah,detik.com,Hashim Reveals Prabowo's Discourse on Wanting to Eliminate VAT-BPHTB on House Purchases,0.0,1
64,64,https://finance.detik.com/berita-ekonomi-bisnis/d-7578045/ketimbang-ppn-naik-jadi-12-ekonom-sarankan-ini-buat-kerek-penerimaan,"Ketimbang PPN Naik Jadi 12%, Ekonom Sarankan Ini buat Kerek Penerimaan",detik.com,"Instead of increasing VAT to 12%, economists suggest this to increase revenue",0.0,1
65,65,https://finance.detik.com/berita-ekonomi-bisnis/d-7577992/jika-ppn-naik-jadi-12-di-2025-masyarakat-bakal-menderita,"Jika PPN Naik Jadi 12% di 2025, Masyarakat Bakal Menderita!",detik.com,"If VAT Increases to 12% in 2025, People Will Suffer!",0.0,1
66,66,https://www.detik.com/properti/berita/d-7570648/temui-dirjen-pajak-penghuni-rusun-sampaikan-alasan-ipl-mestinya-tak-kena-pajak,"Temui Dirjen Pajak, Penghuni Rusun Sampaikan Alasan IPL Mestinya Tak Kena Pajak",detik.com,"Meeting with Director General of Taxes, Flat Residents Explain Reasons Why IPL Should Not Be Taxed",0.012500000000000008,1
67,67,https://finance.detik.com/berita-ekonomi-bisnis/d-7561130/pengusaha-minta-rencana-ppn-12-di-2025-ditunda-harga-barang-bisa-naik,"Pengusaha Minta Rencana PPN 12% di 2025 Ditunda, Harga Barang Bisa Naik!",detik.com,"Entrepreneurs Ask for Postponement of 12% VAT Plan in 2025, Goods Prices May Increase!",0.0,1
68,68,https://www.detik.com/sumut/bisnis/d-7559427/hingga-akhir-triwulan-iii-realisasi-penerimaan-pajak-di-sumut-masih-59-4,"Hingga Akhir Triwulan III, Realisasi Penerimaan Pajak di Sumut Masih 59,4%",detik.com,"Until the end of the third quarter, the realization of tax revenues in North Sumatra was still 59.4%",0.0,1
69,69,https://finance.detik.com/berita-ekonomi-bisnis/d-7559008/ditjen-pajak-soal-heboh-rusun-apartemen-kena-ppn-11-aturan-lama,Ditjen Pajak soal Heboh Rusun-Apartemen Kena PPN 11%: Aturan lama!,detik.com,Directorate General of Taxes regarding the excitement about flats subject to 11% VAT: Old rules!,0.0027777777777777866,1
70,70,https://finance.detik.com/berita-ekonomi-bisnis/d-7558654/tak-masuk-ke-postur-apbn-prabowo-ppn-jadi-naik-ke-12-tahun-depan,"Tak Masuk ke Postur APBN Prabowo, PPN Jadi Naik ke 12% Tahun Depan?",detik.com,"Not included in Prabowo's APBN posture, will VAT increase to 12% next year?",0.0,1
71,71,https://finance.detik.com/berita-ekonomi-bisnis/d-7558652/tak-masuk-ke-postur-apbn-prabowo-ppn-jadi-naik-ke-12-tahun-depan,"Tak Masuk ke Postur APBN Prabowo, PPN Jadi Naik ke 12% Tahun Depan?",detik.com,"Not included in Prabowo's APBN posture, will VAT increase to 12% next year?",0.0,1
72,72,https://www.detik.com/properti/berita/d-7558501/penghuni-rusun-apartemen-protes-ipl-bakal-kena-pajak,Penghuni Rusun-Apartemen Protes IPL Bakal Kena Pajak,detik.com,Residents of IPL Protest Flats Will Be Taxed,0.0,1
73,73,https://www.detik.com/properti/berita/d-7557746/hidup-lagi-berat-beratnya-eh-beredar-surat-sosialisasi-ipl-rusun-kena-pajak,Hidup Lagi Berat-beratnya Eh Beredar Surat Sosialisasi IPL Rusun Kena Pajak,detik.com,"Life is hard again. Eh, a letter circulating about the socialization of IPL for taxable flats",-0.2916666666666667,0
74,74,https://finance.detik.com/berita-ekonomi-bisnis/d-7558054/ppn-jadi-12-di-2025-wamenkeu-thomas-berilah-pak-prabowo-jadi-presiden-dulu,PPN Jadi 12% di 2025? Wamenkeu Thomas: Berilah Pak Prabowo Jadi Presiden Dulu,detik.com,VAT to be 12% in 2025? Deputy Minister of Finance Thomas: Let Pak Prabowo be President first,0.25,1
75,75,https://www.detik.com/properti/berita/d-7557660/penghuni-rusun-ogah-ada-pajak-buat-ipl-mau-penyesuaian-iuran-saja-setengah-mati,Penghuni Rusun Ogah Ada Pajak buat IPL: Mau Penyesuaian Iuran Saja Setengah Mati,detik.com,Flat Residents Refuse to Have Taxes for IPL: Just Want to Adjust Contributions Half Dead,-0.13055555555555556,0
76,76,https://www.detik.com/properti/berita/d-7557404/penghuni-rusun-ragu-program-3-juta-rumah-prabowo-terwujud-bila,"Penghuni Rusun Ragu Program 3 Juta Rumah Prabowo Terwujud, Bila...",detik.com,"Flat Residents Doubt Prabowo's 3 Million Houses Program Will Be Realized, If...",-0.025,0
77,77,https://www.detik.com/sumut/bisnis/d-7557168/estimasi-besaran-pajak-jika-iphone-16-dibeli-di-luar-negeri-dibawa-ke-ri,Estimasi Besaran Pajak Jika iPhone 16 Dibeli di Luar Negeri Dibawa ke RI,detik.com,Estimated Tax Amount If iPhone 16 Purchased Abroad Is Brought to RI,0.0,1
78,78,https://www.detik.com/properti/berita/d-7557063/penghuni-rusun-pertanyakan-ipl-kena-pajak-apa-dasarnya,Penghuni Rusun Pertanyakan IPL Kena Pajak: Apa Dasarnya?,detik.com,Flat Residents Question IPL Taxable: What's the Basis?,-0.025,0
79,79,https://www.detik.com/properti/berita/d-7556676/biaya-hidup-makin-mahal-minat-tinggal-di-rusun-diramal-turun,"Biaya Hidup Makin Mahal, Minat Tinggal di Rusun Diramal Turun",detik.com,"Cost of Living is Increasingly Expensive, Interest in Living in Flats Predicted to Decrease",-0.5,0
80,80,https://www.detik.com/properti/berita/d-7556661/ipl-rusun-bakal-kena-ppn-penghuni-resah-keberatan-bayar,"IPL Rusun Bakal Kena PPN, Penghuni Resah Keberatan Bayar",detik.com,"IPL Flats Will Be Subject to VAT, Residents Are Worried About Objecting to Paying",-0.16666666666666666,0
81,81,https://www.detik.com/properti/berita/d-7556171/penghuni-rusun-tolak-keras-ipl-kena-ppn-ancam-bakal-demo,"Penghuni Rusun Tolak Keras IPL Kena PPN, Ancam Bakal Demo",detik.com,"Flat Residents Strongly Reject IPL Subject to VAT, Threaten to Demonstrate",0.08055555555555556,1
82,82,https://finance.detik.com/infrastruktur/d-7547724/sri-mulyani-resmi-perpanjang-beli-rumah-bebas-ppn-hingga-desember-2024,Sri Mulyani Resmi Perpanjang Beli Rumah Bebas PPN hingga Desember 2024,detik.com,Sri Mulyani Officially Extends VAT Free Home Buying until December 2024,0.4,1
83,83,https://www.detik.com/properti/berita/d-7546834/sektor-properti-diprediksi-lesu-jika-ppn-naik-12-insentif-bisa-jadi-penolong,"Sektor Properti Diprediksi Lesu Jika PPN Naik 12%, Insentif Bisa Jadi Penolong?",detik.com,"Property Sector Predicted to be Sluggish If VAT Increases by 12%, Can Incentives Be a Helper?",0.0,1
84,84,https://finance.detik.com/berita-ekonomi-bisnis/d-7544927/nasib-ppn-naik-jadi-12-di-tangan-prabowo,Nasib PPN Naik Jadi 12% di Tangan Prabowo,detik.com,VAT fate increases to 12% in Prabowo's hands,0.0,1
85,85,https://www.detik.com/properti/berita/d-7544187/bangun-rumah-sendiri-kok-kena-pajak-2-4-ternyata-sudah-dari-30-tahun-lalu,"Bangun Rumah Sendiri Kok Kena Pajak 2,4%? Ternyata Sudah dari 30 Tahun Lalu",detik.com,How come building your own house is subject to 2.4% tax? Turns out it was 30 years ago,0.21666666666666667,1
86,86,https://www.detik.com/properti/berita/d-7544060/nggak-semua-kena-rumah-di-bawah-200-meter-bebas-pajak-bangun-sendiri-2-4,"Nggak Semua Kena! Rumah di Bawah 200 Meter Bebas Pajak Bangun Sendiri 2,4%",detik.com,Not Everyone Gets It! Homes under 200 meters free from self-build tax 2.4%,0.4,1
87,87,https://finance.detik.com/infrastruktur/d-7543399/stafsus-sri-mulyani-tegaskan-bangun-rumah-kena-pajak-sudah-berlaku-30-tahun,Stafsus Sri Mulyani Tegaskan Bangun Rumah Kena Pajak Sudah Berlaku 30 Tahun,detik.com,Special Staff Sri Mulyani Confirms That Building Taxable Houses Has Been Valid for 30 Years,0.35714285714285715,1
88,88,https://finance.detik.com/berita-ekonomi-bisnis/d-7543049/bangun-rumah-kena-pajak-stafsus-sri-mulyani-sebut-sudah-ada-sejak-1995,"Bangun Rumah Kena Pajak, Stafsus Sri Mulyani Sebut Sudah Ada Sejak 1995",detik.com,"Building a Taxable House, Special Staff Sri Mulyani Says It Has Been There Since 1995",0.35714285714285715,1
89,89,https://finance.detik.com/berita-ekonomi-bisnis/d-7532444/tiket-pesawat-ditargetkan-turun-10-menhub-usul-4-hal-ini,"Tiket Pesawat Ditargetkan Turun 10%, Menhub Usul 4 Hal Ini",detik.com,"Plane Tickets Targeted to Decrease 10%, Minister of Transportation Suggests These 4 Things",0.0,1
